id;license_number;issue_date;expiration_date
1;lobotomise anti;2026-06-11;2026-06-11
2;crocodile snoopy ack;2026-06-12;2026-06-12
3;pfft;2026-06-12;2026-06-11
4;ostrich;2026-06-11;2026-06-11
5;what across;2026-06-11;2026-06-11
6;perfection filthy;2026-06-11;2026-06-11
7;cautiously scale;2026-06-11;2026-06-12
8;and;2026-06-11;2026-06-11
9;whether hm joshingly;2026-06-12;2026-06-11
10;meanwhile as hence;2026-06-11;2026-06-11
11;instead so;2026-06-11;2026-06-11
12;wheel;2026-06-12;2026-06-11
13;sizzling hollow joyfully;2026-06-12;2026-06-11
14;alliance contradict next;2026-06-11;2026-06-11
15;finger whereas till;2026-06-11;2026-06-11
16;miserly dirty shakily;2026-06-11;2026-06-11
17;ouch;2026-06-12;2026-06-11
18;from evenly;2026-06-11;2026-06-11
19;quiet excepting;2026-06-11;2026-06-11
20;down usefully pace;2026-06-11;2026-06-12
21;attest misjudge why;2026-06-11;2026-06-12
22;neatly;2026-06-11;2026-06-11
23;char than knavishly;2026-06-11;2026-06-12
24;video ah;2026-06-11;2026-06-12
25;some recede hateful;2026-06-12;2026-06-11
26;moral;2026-06-12;2026-06-12
27;shrilly and yahoo;2026-06-11;2026-06-11
28;geez lift at;2026-06-11;2026-06-11
29;indeed from;2026-06-12;2026-06-11
30;um;2026-06-11;2026-06-11
